dataset,method,seed,run_tag,result_group,ablation_family,avg_accuracy,forgetting,backward_transfer,forward_transfer
split_cifar10,icarl,42,buf500,ablations,buffer,26.67,39.5375,-39.5375,-16.0417
split_cifar10,icarl,123,buf500,ablations,buffer,25.5,38.9625,-38.9625,-16.0417
split_cifar10,icarl,456,buf500,ablations,buffer,26.58,44.175,-44.175,-16.0417
split_cifar10,icarl,789,buf500,ablations,buffer,29.33,38.05,-38.05,-16.0417
split_cifar10,icarl,1024,buf500,ablations,buffer,28.16,38.05,-38.05,-16.0417
split_cifar10,si_der,42,buf100,ablations,buffer,16.78,79.875,-79.875,-15.9292
split_cifar10,si_der,123,buf100,ablations,buffer,17.68,83.2125,-83.2125,-16.0417
split_cifar10,si_der,456,buf100,ablations,buffer,16.48,79.775,-79.775,-13.2167
split_cifar10,si_der,789,buf100,ablations,buffer,16.65,80.9125,-80.9125,-11.4417
split_cifar10,si_der,1024,buf100,ablations,buffer,16.74,82.5875,-82.5875,-10.1042
split_cifar10,si_der,42,buf200,ablations,buffer,16.34,78.1375,-78.1375,-16.0417
split_cifar10,si_der,123,buf200,ablations,buffer,16.52,79.35,-79.35,-16.0417
split_cifar10,si_der,456,buf200,ablations,buffer,17.41,80.7625,-80.7625,-9.2167
split_cifar10,si_der,789,buf200,ablations,buffer,17.41,80.85,-80.85,-11.7667
split_cifar10,si_der,1024,buf200,ablations,buffer,17.34,81.5125,-81.5125,-12.6167
split_cifar10,si_der,42,buf500,ablations,buffer,15.2,76.3,-76.3,-16.0417
split_cifar10,si_der,123,buf500,ablations,buffer,15.34,78.275,-78.275,-16.0417
split_cifar10,si_der,456,buf500,ablations,buffer,17.13,80.6875,-80.6875,-12.5417
split_cifar10,si_der,789,buf500,ablations,buffer,16.74,79.475,-79.475,-9.9167
split_cifar10,si_der,1024,buf500,ablations,buffer,16.89,81.05,-81.05,-13.0417
split_cifar10,xder,42,buf100,ablations,buffer,18.0,77.1,-77.1,-15.6292
split_cifar10,xder,123,buf100,ablations,buffer,18.3,78.6,-78.6,-16.0417
split_cifar10,xder,456,buf100,ablations,buffer,18.61,77.1125,-77.1125,-14.1292
split_cifar10,xder,789,buf100,ablations,buffer,18.1,79.8375,-79.8375,-13.1167
split_cifar10,xder,1024,buf100,ablations,buffer,18.24,79.7875,-79.7875,-12.7667
split_cifar10,xder,42,buf200,ablations,buffer,23.47,68.45,-68.45,-16.0417
split_cifar10,xder,123,buf200,ablations,buffer,20.94,72.625,-72.625,-16.0417
split_cifar10,xder,456,buf200,ablations,buffer,20.23,76.4625,-76.4625,-11.8167
split_cifar10,xder,789,buf200,ablations,buffer,20.4,78.7375,-78.7375,-13.3917
split_cifar10,xder,1024,buf200,ablations,buffer,21.04,74.6625,-74.6625,-13.4917
split_cifar10,xder,42,buf500,ablations,buffer,19.28,75.5625,-75.5625,-16.0417
split_cifar10,xder,123,buf500,ablations,buffer,19.21,74.3875,-74.3875,-16.0417
split_cifar10,xder,456,buf500,ablations,buffer,19.09,76.2,-76.2,-12.8792
split_cifar10,xder,789,buf500,ablations,buffer,22.25,75.675,-75.675,-12.0667
split_cifar10,xder,1024,buf500,ablations,buffer,19.49,77.175,-77.175,-12.8667
split_cifar10,agem_distill,42,nodistill,ablations,interaction,16.07,76.125,-76.125,-16.0042
split_cifar10,agem_distill,123,nodistill,ablations,interaction,17.25,80.3125,-80.3125,-15.9917
split_cifar10,agem_distill,456,nodistill,ablations,interaction,16.2,81.875,-81.875,-14.7292
split_cifar10,der,42,nodistill,ablations,interaction,15.48,78.8125,-78.8125,-15.9167
split_cifar10,der,123,nodistill,ablations,interaction,16.95,81.55,-81.55,-16.0292
split_cifar10,der,456,nodistill,ablations,interaction,15.11,81.8375,-81.8375,-14.6667
split_cifar10,er_ewc,42,noewc,ablations,interaction,23.21,72.375,-72.375,-15.4667
split_cifar10,er_ewc,123,noewc,ablations,interaction,25.56,71.175,-71.175,-15.5792
split_cifar10,er_ewc,456,noewc,ablations,interaction,23.93,70.2375,-70.2375,-15.7417
split_cifar10,icarl,42,nonmc,ablations,interaction,16.18,75.3,-75.3,-16.0042
split_cifar10,icarl,123,nonmc,ablations,interaction,16.91,80.025,-80.025,-15.9917
split_cifar10,icarl,456,nonmc,ablations,interaction,16.51,80.9875,-80.9875,-14.7292
split_cifar10,si_der,42,nosi,ablations,interaction,15.85,78.5375,-78.5375,-16.0417
split_cifar10,si_der,123,nosi,ablations,interaction,17.11,79.4875,-79.4875,-16.0417
split_cifar10,si_der,456,nosi,ablations,interaction,16.31,81.9125,-81.9125,-9.2167
split_cifar10,xder,42,norevision,ablations,interaction,16.6,78.325,-78.325,-16.0417
split_cifar10,xder,123,norevision,ablations,interaction,16.51,79.625,-79.625,-16.0417
split_cifar10,xder,456,norevision,ablations,interaction,16.08,81.0875,-81.0875,-9.2167
split_cifar10,er_ewc,42,lambda1,ablations,lambda,22.68,73.825,-73.825,-15.5167
split_cifar10,er_ewc,123,lambda1,ablations,lambda,23.12,74.2375,-74.2375,-15.5792
split_cifar10,er_ewc,456,lambda1,ablations,lambda,22.45,74.6125,-74.6125,-15.7417
split_cifar10,er_ewc,789,lambda1,ablations,lambda,27.58,69.3625,-69.3625,-14.1792
split_cifar10,er_ewc,1024,lambda1,ablations,lambda,21.9,76.0,-76.0,-15.4792
split_cifar10,er_ewc,42,lambda10,ablations,lambda,22.93,73.575,-73.575,-15.5167
