dataset,method,seed,run_tag,ablation_family,config,run_dir_exists,log_exists,metrics_csv_exists,checkpoint_dir_exists,checkpoint_files,log_starts,completed,status,total_time_sec,mean_task_time_sec,max_task_time_sec,n_completed_tasks,avg_accuracy,forgetting,backward_transfer,forward_transfer
split_cifar10,der,456,buf100,buffer,ablate_split_cifar10_der_buf100.yaml,True,True,True,True,0,1,True,completed,158.9,31.78,34.5,5,16.87,79.775,-79.775,-13.2167
split_cifar10,der,789,buf100,buffer,ablate_split_cifar10_der_buf100.yaml,True,True,True,True,0,1,True,completed,143.4,28.68,31.4,5,16.93,81.15,-81.15,-11.4417
split_cifar10,der,1024,buf100,buffer,ablate_split_cifar10_der_buf100.yaml,True,True,True,True,0,1,True,completed,158.0,31.6,33.7,5,17.32,82.5375,-82.5375,-10.1042
split_cifar10,der,42,buf200,buffer,ablate_split_cifar10_der_buf200.yaml,True,True,True,True,0,1,True,completed,151.8,30.36,32.3,5,15.85,78.5375,-78.5375,-16.0417
split_cifar10,der,123,buf200,buffer,ablate_split_cifar10_der_buf200.yaml,True,True,True,True,0,1,True,completed,148.0,29.6,32.3,5,17.11,79.4875,-79.4875,-16.0417
split_cifar10,der,456,buf200,buffer,ablate_split_cifar10_der_buf200.yaml,True,True,True,True,0,1,True,completed,150.3,30.06,33.0,5,16.31,81.9125,-81.9125,-9.2167
split_cifar10,der,789,buf200,buffer,ablate_split_cifar10_der_buf200.yaml,True,True,True,True,0,1,True,completed,143.6,28.72,33.6,5,16.88,80.2,-80.2,-11.7667
split_cifar10,der,1024,buf200,buffer,ablate_split_cifar10_der_buf200.yaml,True,True,True,True,0,1,True,completed,158.1,31.62,34.2,5,16.97,81.1875,-81.1875,-12.6167
split_cifar10,der,42,buf500,buffer,ablate_split_cifar10_der_buf500.yaml,True,True,True,True,0,1,True,completed,137.0,27.4,30.8,5,15.07,77.1875,-77.1875,-16.0417
split_cifar10,der,123,buf500,buffer,ablate_split_cifar10_der_buf500.yaml,True,True,True,True,0,1,True,completed,155.6,31.12,35.5,5,14.52,78.3125,-78.3125,-16.0417
split_cifar10,der,456,buf500,buffer,ablate_split_cifar10_der_buf500.yaml,True,True,True,True,0,1,True,completed,130.2,26.04,27.9,5,16.49,81.025,-81.025,-12.5417
split_cifar10,der,789,buf500,buffer,ablate_split_cifar10_der_buf500.yaml,True,True,True,True,0,1,True,completed,157.0,31.4,33.2,5,16.63,78.1625,-78.1625,-9.9167
split_cifar10,der,1024,buf500,buffer,ablate_split_cifar10_der_buf500.yaml,True,True,True,True,0,1,True,completed,128.9,25.78,29.0,5,17.26,81.7875,-81.7875,-13.0417
