dataset,method,metric,mean,std
split_mini_imagenet,progress_compress,backward_transfer,-43.21578,1.1017143400174116
split_mini_imagenet,progress_compress,forward_transfer,-2.63096,0.1038827608412484
split_mini_imagenet,agem_distill,avg_accuracy,2.30164,0.1735454637839895
split_mini_imagenet,agem_distill,forgetting,34.79826,2.4712971377396116
split_mini_imagenet,agem_distill,backward_transfer,-34.79826,2.4712971377396116
split_mini_imagenet,agem_distill,forward_transfer,-2.72922,0.007870959280799329
split_mini_imagenet,si_der,avg_accuracy,2.2450200000000002,0.1358562365149279
split_mini_imagenet,si_der,forgetting,34.78072,1.374764604214119
split_mini_imagenet,si_der,backward_transfer,-34.78072,1.374764604214119
split_mini_imagenet,si_der,forward_transfer,-2.6292,0.11010844654248823
