dataset,method,model,n_epochs,batch_size,num_workers,fp16,buffer_size,seeds,total_time_sec_mean,total_time_sec_std,caveat_note,avg_accuracy_mean,avg_accuracy_std,forgetting_mean,forgetting_std,backward_transfer_mean,backward_transfer_std,forward_transfer_mean,forward_transfer_std,runtime_hours_mean,runtime_hours_std,estimated_memory_mb,method_family
split_cifar100,xder,slim_resnet18,1,32,0,True,200,5,79.92,7.4637122131014655,,2.3899999999999997,0.8350748469448711,45.12632,8.002100555291715,-45.12632,8.002100555291715,-2.72816,0.009441821858094987,0.0222,0.002073253392528185,2.8125,hybrid
split_cifar100,icarl,slim_resnet18,1,32,0,True,500,5,99.3,12.0415945787923,,4.3740000000000006,0.729952053219936,11.22946,1.0491255349099071,-9.25052,0.8762417514590372,-2.7345,0.0,0.02758333333333333,0.003344887382997861,7.0312,hybrid
split_cifar100,er_ewc,slim_resnet18,1,32,0,True,200,5,387.76,25.553042871642493,,4.4799999999999995,0.309273341883842,58.27578,2.163901785432971,-58.27578,2.163901785432971,-2.73028,0.00943620686504914,0.1077111111111111,0.0070980674643451366,16.0,hybrid
split_cifar100,progress_compress,slim_resnet18,1,32,0,True,200,5,79.67999999999999,2.9760712357065664,,3.5519999999999996,0.2365797962633326,52.751580000000004,1.3336361748992842,-52.751580000000004,1.3336361748992842,-2.7218600000000004,0.01883329498521174,0.02213333333333333,0.0008266864543629351,256.0,hybrid
split_cifar100,agem_distill,slim_resnet18,1,32,0,True,200,5,140.32,2.492388412747892,,2.722,0.2391024884855865,46.53474,2.1191415226454344,-46.53474,2.1191415226454344,-2.7345,0.0,0.03897777777777778,0.0006923301146521922,2.8125,hybrid
split_cifar100,si_der,slim_resnet18,1,32,0,True,200,5,161.16,21.46236240491712,,2.8619999999999997,0.17049926686059375,44.98106,1.7287855456938561,-44.98106,1.7287855456938561,-2.69658,0.06763938941179169,0.04476666666666666,0.0059617673346991995,16.0,hybrid
split_mini_imagenet,fine_tune,slim_resnet18,1,32,0,True,200,5,380.96000000000004,18.943679684791952,,1.94,0.27168251692002554,29.64034,1.4223951237261745,-29.64034,1.4223951237261745,-2.72922,0.007870959280799329,0.10582222222222223,0.005262133245775543,16.1499,baseline
split_mini_imagenet,joint_training,slim_resnet18,1,32,0,True,200,5,804.08,867.8792237402622,Run log contains restarts; final metrics were read from the last completed metrics block.,45.18834,2.274359629214342,3.5473399999999997,1.4352541039829845,19.84562,1.0789925866288423,-2.7309799999999997,0.004819958506045574,0.22335555555555556,0.24107756215007284,2048.0,baseline
split_mini_imagenet,ewc,slim_resnet18,1,32,0,True,200,5,588.8,31.930236453869295,,2.07498,0.10018039728409947,28.96314,2.1664357463354422,-28.96314,2.1664357463354422,-2.72922,0.007870959280799329,0.16355555555555554,0.008869510126074804,16.1499,baseline
split_mini_imagenet,agem,slim_resnet18,1,32,0,True,200,5,545.04,23.77431387022563,Run log contains restarts; final metrics were read from the last completed metrics block.,1.935,0.21605715678958645,32.20524,2.3527542068817993,-32.20524,2.3527542068817993,-2.72922,0.007870959280799329,0.15139999999999998,0.006603976075062675,16.1499,baseline
split_mini_imagenet,lwf,slim_resnet18,1,32,0,True,200,5,650.3199999999999,459.3623210495175,Run log contains restarts; final metrics were read from the last completed metrics block.,1.76498,0.43788116766995133,28.46666,2.706408064760374,-28.46666,2.706408064760374,-2.72572,0.015198749948597844,0.1806444444444444,0.1276006447359771,16.1499,baseline
split_mini_imagenet,der,slim_resnet18,1,32,0,True,200,5,367.64,20.518235791607434,,1.9600000000000002,0.3685921051786108,34.34388,1.0340116933574746,-34.34388,1.0340116933574746,-2.6292,0.11010844654248823,0.10212222222222223,0.005699509942113176,19.3799,hybrid
split_mini_imagenet,xder,slim_resnet18,1,32,0,True,200,5,515.5,9.770875088752259,,2.65668,0.3329517412478872,39.80176,3.918944219812271,-39.80176,3.918944219812271,-2.652,0.06640971314499097,0.14319444444444446,0.0027141319690978495,19.3799,hybrid
split_mini_imagenet,icarl,slim_resnet18,1,32,0,True,500,5,402.58000000000004,11.767200176762483,,3.15666,0.5564395501759379,7.80698,2.0671295017487408,-6.2316,2.391682405755413,-2.7345,0.0,0.11182777777777779,0.0032686667157673563,48.4497,hybrid
split_mini_imagenet,er_ewc,slim_resnet18,1,32,0,True,200,5,545.92,73.5638294272396,,3.3366599999999997,0.34457651254837435,44.61578,1.298346705237086,-44.61578,1.298346705237086,-2.72922,0.007870959280799422,0.15164444444444444,0.02043439706312211,16.1499,hybrid
split_mini_imagenet,progress_compress,slim_resnet18,1,32,0,True,200,5,468.98,9.037532849179595,,2.67668,0.14757747795649592,43.21578,1.1017143400174116,-43.21578,1.1017143400174116,-2.63096,0.1038827608412484,0.13027222222222223,0.0025104257914387762,256.0,hybrid
split_mini_imagenet,agem_distill,slim_resnet18,1,32,0,True,200,5,524.92,31.97291040865692,,2.30164,0.1735454637839895,34.79826,2.4712971377396116,-34.79826,2.4712971377396116,-2.72922,0.007870959280799329,0.1458111111111111,0.008881364002404699,19.3799,hybrid
split_mini_imagenet,si_der,slim_resnet18,1,32,0,True,200,5,585.08,4.2032130566985,,2.2450200000000002,0.1358562365149279,34.78072,1.374764604214119,-34.78072,1.374764604214119,-2.6292,0.11010844654248823,0.16252222222222223,0.00116755918241625,19.3799,hybrid
