dataset,metric,method_a,method_b,n_pairs,rank_biserial,magnitude
permuted_mnist,forgetting,xder,si_der,5,-0.066667,negligible
permuted_mnist,forgetting,icarl,er_ewc,5,-1.0,large
permuted_mnist,forgetting,icarl,progress_compress,5,-1.0,large
permuted_mnist,forgetting,icarl,agem_distill,5,-1.0,large
permuted_mnist,forgetting,icarl,si_der,5,-1.0,large
permuted_mnist,forgetting,er_ewc,progress_compress,5,-1.0,large
permuted_mnist,forgetting,er_ewc,agem_distill,5,1.0,large
permuted_mnist,forgetting,er_ewc,si_der,5,1.0,large
permuted_mnist,forgetting,progress_compress,agem_distill,5,1.0,large
permuted_mnist,forgetting,progress_compress,si_der,5,1.0,large
permuted_mnist,forgetting,agem_distill,si_der,5,1.0,large
split_cifar10,avg_accuracy,fine_tune,joint_training,5,-1.0,large
split_cifar10,avg_accuracy,fine_tune,ewc,5,-0.866667,large
split_cifar10,avg_accuracy,fine_tune,agem,5,-0.333333,medium
split_cifar10,avg_accuracy,fine_tune,lwf,5,-0.066667,negligible
split_cifar10,avg_accuracy,fine_tune,der,5,-1.0,large
split_cifar10,avg_accuracy,fine_tune,xder,5,-1.0,large
split_cifar10,avg_accuracy,fine_tune,icarl,5,-1.0,large
split_cifar10,avg_accuracy,fine_tune,er_ewc,5,-1.0,large
split_cifar10,avg_accuracy,fine_tune,progress_compress,5,-1.0,large
split_cifar10,avg_accuracy,fine_tune,agem_distill,5,-0.866667,large
split_cifar10,avg_accuracy,fine_tune,si_der,5,-0.866667,large
split_cifar10,avg_accuracy,joint_training,ewc,5,1.0,large
split_cifar10,avg_accuracy,joint_training,agem,5,1.0,large
split_cifar10,avg_accuracy,joint_training,lwf,5,1.0,large
split_cifar10,avg_accuracy,joint_training,der,5,1.0,large
split_cifar10,avg_accuracy,joint_training,xder,5,1.0,large
split_cifar10,avg_accuracy,joint_training,icarl,5,1.0,large
split_cifar10,avg_accuracy,joint_training,er_ewc,5,1.0,large
split_cifar10,avg_accuracy,joint_training,progress_compress,5,1.0,large
split_cifar10,avg_accuracy,joint_training,agem_distill,5,1.0,large
split_cifar10,avg_accuracy,joint_training,si_der,5,1.0,large
split_cifar10,avg_accuracy,ewc,agem,5,0.733333,large
split_cifar10,avg_accuracy,ewc,lwf,5,1.0,large
split_cifar10,avg_accuracy,ewc,der,5,0.6,large
