dataset,method,seed,run_name,config_name,model,n_epochs,batch_size,num_workers,fp16,buffer_size,total_time_sec,log_starts,completed,caveat_note,avg_accuracy,forgetting,backward_transfer,forward_transfer
split_cifar10,ewc,456,split_cifar10_ewc_seed456,split_cifar10_ewc.yaml,slim_resnet18,1,32,0,False,200,113.4,1,True,,17.15,80.9625,-80.9625,-14.7292
split_cifar10,ewc,789,split_cifar10_ewc_seed789,split_cifar10_ewc.yaml,slim_resnet18,1,32,0,False,200,98.2,1,True,,17.2,79.2,-79.2,-14.8167
split_cifar10,ewc,1024,split_cifar10_ewc_seed1024,split_cifar10_ewc.yaml,slim_resnet18,1,32,0,False,200,111.7,1,True,,17.16,81.3375,-81.3375,-15.7792
split_cifar10,fine_tune,42,split_cifar10_fine_tune_seed42,split_cifar10_finetune.yaml,slim_resnet18,1,32,0,False,200,58.6,1,True,,15.52,77.1875,-77.1875,-16.0042
split_cifar10,fine_tune,123,split_cifar10_fine_tune_seed123,split_cifar10_finetune.yaml,slim_resnet18,1,32,0,False,200,55.6,1,True,,16.6,80.7125,-80.7125,-15.9917
split_cifar10,fine_tune,456,split_cifar10_fine_tune_seed456,split_cifar10_finetune.yaml,slim_resnet18,1,32,0,False,200,56.2,1,True,,15.12,80.3375,-80.3375,-14.7292
split_cifar10,fine_tune,789,split_cifar10_fine_tune_seed789,split_cifar10_finetune.yaml,slim_resnet18,1,32,0,False,200,58.6,1,True,,16.32,75.0875,-75.0875,-14.8167
split_cifar10,fine_tune,1024,split_cifar10_fine_tune_seed1024,split_cifar10_finetune.yaml,slim_resnet18,1,32,0,False,200,54.5,1,True,,15.75,79.7125,-79.7125,-15.7792
split_cifar10,icarl,42,split_cifar10_icarl_seed42,split_cifar10_icarl.yaml,slim_resnet18,1,32,0,False,500,72.5,1,True,,26.67,39.5375,-39.5375,-16.0417
split_cifar10,icarl,123,split_cifar10_icarl_seed123,split_cifar10_icarl.yaml,slim_resnet18,1,32,0,False,500,76.1,1,True,,25.5,38.9625,-38.9625,-16.0417
split_cifar10,icarl,456,split_cifar10_icarl_seed456,split_cifar10_icarl.yaml,slim_resnet18,1,32,0,False,500,76.0,1,True,,26.58,44.175,-44.175,-16.0417
split_cifar10,icarl,789,split_cifar10_icarl_seed789,split_cifar10_icarl.yaml,slim_resnet18,1,32,0,False,500,74.2,1,True,,29.33,38.05,-38.05,-16.0417
split_cifar10,icarl,1024,split_cifar10_icarl_seed1024,split_cifar10_icarl.yaml,slim_resnet18,1,32,0,False,500,73.4,1,True,,28.16,38.05,-38.05,-16.0417
split_cifar10,joint_training,42,split_cifar10_joint_training_seed42,split_cifar10_joint.yaml,slim_resnet18,1,32,0,False,200,54.8,1,True,,63.09,6.8,-5.55,-15.7667
split_cifar10,joint_training,123,split_cifar10_joint_training_seed123,split_cifar10_joint.yaml,slim_resnet18,1,32,0,False,200,55.0,1,True,,61.89,14.2375,-6.5125,-15.7542
split_cifar10,joint_training,456,split_cifar10_joint_training_seed456,split_cifar10_joint.yaml,slim_resnet18,1,32,0,False,200,54.4,1,True,,62.73,12.425,-11.5625,-15.2667
split_cifar10,joint_training,789,split_cifar10_joint_training_seed789,split_cifar10_joint.yaml,slim_resnet18,1,32,0,False,200,54.2,1,True,,66.88,6.65,0.0,-15.1167
split_cifar10,joint_training,1024,split_cifar10_joint_training_seed1024,split_cifar10_joint.yaml,slim_resnet18,1,32,0,False,200,54.5,1,True,,63.95,14.675,-13.5125,-15.8292
split_cifar10,lwf,42,split_cifar10_lwf_seed42,split_cifar10_lwf.yaml,slim_resnet18,1,32,0,False,200,61.1,1,True,,16.02,74.6625,-74.6625,-16.0042
split_cifar10,lwf,123,split_cifar10_lwf_seed123,split_cifar10_lwf.yaml,slim_resnet18,1,32,0,False,200,60.5,1,True,,15.85,79.2375,-79.2375,-15.9917
