dataset,method,model,n_epochs,batch_size,num_workers,fp16,buffer_size,seeds,total_time_sec_mean,total_time_sec_std,caveat_note,avg_accuracy_mean,avg_accuracy_std,forgetting_mean,forgetting_std,backward_transfer_mean,backward_transfer_std,forward_transfer_mean,forward_transfer_std,runtime_hours_mean,runtime_hours_std,estimated_memory_mb,method_family,replay,distill,regularize,joint,leader_flag,top_cluster_flag
split_cifar100,ewc,slim_resnet18,1,32,0,True,200,5,381.78,2.9166761904606635,,2.05,0.2983286778035259,34.42948,2.8495037922417312,-34.42948,2.8495037922417312,-2.7345,0.0,0.10605,0.0008101878306835,16.0,baseline,False,False,True,False,False,True
split_cifar100,fine_tune,slim_resnet18,1,32,0,True,200,5,80.84,14.986093553691704,,2.13,0.2966479394838266,38.92,3.1869021596214715,-38.92,3.1869021596214715,-2.7345,0.0,0.0224555555555555,0.0041628037649143,2.3438,baseline,False,False,False,False,False,True
split_cifar100,icarl,slim_resnet18,1,32,0,True,500,5,99.3,12.0415945787923,,4.3740000000000006,0.729952053219936,11.22946,1.0491255349099071,-9.25052,0.8762417514590372,-2.7345,0.0,0.0275833333333333,0.0033448873829978,7.0312,hybrid,True,True,False,False,False,True
split_cifar100,joint_training,slim_resnet18,1,32,0,True,200,5,66.34,2.5986534974867315,,46.746,1.2792888649558392,6.10104,1.0963541093095788,13.35156,3.278440516922642,-2.7345,0.0,0.0184277777777777,0.0007218481937463,2048.0,baseline,True,False,False,True,True,True
split_cifar100,lwf,slim_resnet18,1,32,0,True,200,5,79.12,2.441720704749012,,2.608,0.23763417262675,42.090520000000005,1.933918915570143,-42.090520000000005,1.933918915570143,-2.7345,0.0,0.0219777777777777,0.0006782557513191,2.3438,baseline,False,True,False,False,False,True
split_cifar100,progress_compress,slim_resnet18,1,32,0,True,200,5,79.67999999999999,2.9760712357065664,,3.552,0.2365797962633326,52.75158,1.3336361748992842,-52.75158,1.3336361748992842,-2.7218600000000004,0.0188332949852117,0.0221333333333333,0.0008266864543629,256.0,hybrid,False,True,True,False,False,True
split_cifar100,si_der,slim_resnet18,1,32,0,True,200,5,161.16,21.46236240491712,,2.862,0.1704992668605937,44.98106,1.728785545693856,-44.98106,1.728785545693856,-2.69658,0.0676393894117916,0.0447666666666666,0.0059617673346991,16.0,hybrid,True,True,True,False,False,True
split_cifar100,xder,slim_resnet18,1,32,0,True,200,5,79.92,7.4637122131014655,,2.39,0.8350748469448711,45.12632,8.002100555291715,-45.12632,8.002100555291715,-2.72816,0.0094418218580949,0.0222,0.0020732533925281,2.8125,hybrid,True,True,False,False,False,True
split_mini_imagenet,agem,slim_resnet18,1,32,0,True,200,5,545.04,23.77431387022563,Run log contains restarts; final metrics were read from the last completed metrics block.,1.935,0.2160571567895864,32.20524,2.3527542068817997,-32.20524,2.3527542068817997,-2.72922,0.0078709592807993,0.1513999999999999,0.0066039760750626,16.1499,baseline,True,False,False,False,False,True
split_mini_imagenet,agem_distill,slim_resnet18,1,32,0,True,200,5,524.92,31.97291040865692,,2.30164,0.1735454637839895,34.79826,2.471297137739612,-34.79826,2.471297137739612,-2.72922,0.0078709592807993,0.1458111111111111,0.0088813640024046,19.3799,hybrid,True,True,False,False,False,True
split_mini_imagenet,der,slim_resnet18,1,32,0,True,200,5,367.64,20.518235791607434,,1.96,0.3685921051786108,34.34388,1.0340116933574746,-34.34388,1.0340116933574746,-2.6292,0.1101084465424882,0.1021222222222222,0.0056995099421131,19.3799,hybrid,True,True,False,False,False,True
split_mini_imagenet,er_ewc,slim_resnet18,1,32,0,True,200,5,545.92,73.5638294272396,,3.33666,0.3445765125483743,44.61578,1.298346705237086,-44.61578,1.298346705237086,-2.72922,0.0078709592807994,0.1516444444444444,0.0204343970631221,16.1499,hybrid,True,False,True,False,False,True
split_mini_imagenet,ewc,slim_resnet18,1,32,0,True,200,5,588.8,31.93023645386929,,2.07498,0.1001803972840994,28.96314,2.1664357463354422,-28.96314,2.1664357463354422,-2.72922,0.0078709592807993,0.1635555555555555,0.0088695101260748,16.1499,baseline,False,False,True,False,False,True
split_mini_imagenet,fine_tune,slim_resnet18,1,32,0,True,200,5,380.96,18.943679684791952,,1.94,0.2716825169200255,29.64034,1.4223951237261745,-29.64034,1.4223951237261745,-2.72922,0.0078709592807993,0.1058222222222222,0.0052621332457755,16.1499,baseline,False,False,False,False,False,True
split_mini_imagenet,icarl,slim_resnet18,1,32,0,True,500,5,402.58,11.767200176762485,,3.15666,0.5564395501759379,7.80698,2.0671295017487408,-6.2316,2.391682405755413,-2.7345,0.0,0.1118277777777777,0.0032686667157673,48.4497,hybrid,True,True,False,False,False,True
split_mini_imagenet,joint_training,slim_resnet18,1,32,0,True,200,5,804.08,867.8792237402622,Run log contains restarts; final metrics were read from the last completed metrics block.,45.18834,2.274359629214342,3.54734,1.4352541039829845,19.84562,1.0789925866288423,-2.73098,0.0048199585060455,0.2233555555555555,0.2410775621500728,2048.0,baseline,True,False,False,True,True,True
split_mini_imagenet,lwf,slim_resnet18,1,32,0,True,200,5,650.3199999999999,459.3623210495175,Run log contains restarts; final metrics were read from the last completed metrics block.,1.76498,0.4378811676699513,28.46666,2.706408064760374,-28.46666,2.706408064760374,-2.72572,0.0151987499485978,0.1806444444444444,0.1276006447359771,16.1499,baseline,False,True,False,False,False,True
split_mini_imagenet,progress_compress,slim_resnet18,1,32,0,True,200,5,468.98,9.037532849179597,,2.67668,0.1475774779564959,43.21578,1.1017143400174116,-43.21578,1.1017143400174116,-2.63096,0.1038827608412484,0.1302722222222222,0.0025104257914387,256.0,hybrid,False,True,True,False,False,True
split_mini_imagenet,si_der,slim_resnet18,1,32,0,True,200,5,585.08,4.2032130566985,,2.24502,0.1358562365149279,34.78072,1.374764604214119,-34.78072,1.374764604214119,-2.6292,0.1101084465424882,0.1625222222222222,0.0011675591824162,19.3799,hybrid,True,True,True,False,False,True
split_mini_imagenet,xder,slim_resnet18,1,32,0,True,200,5,515.5,9.77087508875226,,2.65668,0.3329517412478872,39.80176,3.918944219812271,-39.80176,3.918944219812271,-2.652,0.0664097131449909,0.1431944444444444,0.0027141319690978,19.3799,hybrid,True,True,False,False,False,True
