dataset,method,method_family,model,seeds,batch_size,num_workers,fp16,buffer_size,estimated_memory_mb,runtime_hours_mean,runtime_hours_std,avg_accuracy_mean,avg_accuracy_std,forgetting_mean,forgetting_std,backward_transfer_mean,backward_transfer_std,forward_transfer_mean,forward_transfer_std,caveat_note,avg_accuracy_mean_std,forgetting_mean_std,backward_transfer_mean_std,forward_transfer_mean_std,runtime_hours_mean_std
split_cifar10,agem_distill,hybrid,slim_resnet18,5,32,0,False,200,2.8125,0.030694444444444444,0.0005468061023619313,16.982,0.44807365465958804,80.05,1.7349126418929526,-80.05,1.7349126418929526,-15.4642,0.6380757204282258,,16.9820 +/- 0.4481,80.0500 +/- 1.7349,-80.0500 +/- 1.7349,-15.4642 +/- 0.6381,0.0307 +/- 0.0005
split_cifar10,si_der,hybrid,slim_resnet18,5,32,0,False,200,16.0,0.04814444444444444,0.006754639466395496,17.003999999999998,0.5286113884509103,80.1225,1.3608763261222476,-80.1225,1.3608763261222476,-13.1367,2.932223985305351,,17.0040 +/- 0.5286,80.1225 +/- 1.3609,-80.1225 +/- 1.3609,-13.1367 +/- 2.9322,0.0481 +/- 0.0068
split_cifar100,fine_tune,baseline,slim_resnet18,5,32,0,True,200,2.3438,0.022455555555555555,0.0041628037649143615,2.13,0.2966479394838266,38.92,3.1869021596214715,-38.92,3.1869021596214715,-2.7345,0.0,,2.1300 +/- 0.2966,38.9200 +/- 3.1869,-38.9200 +/- 3.1869,-2.7345 +/- 0.0000,0.0225 +/- 0.0042
split_cifar100,joint_training,baseline,slim_resnet18,5,32,0,True,200,2048.0,0.01842777777777778,0.0007218481937463143,46.746,1.2792888649558392,6.10104,1.0963541093095788,13.351560000000001,3.278440516922642,-2.7345,0.0,,46.7460 +/- 1.2793,6.1010 +/- 1.0964,13.3516 +/- 3.2784,-2.7345 +/- 0.0000,0.0184 +/- 0.0007
split_cifar100,ewc,baseline,slim_resnet18,5,32,0,True,200,16.0,0.10605,0.0008101878306835176,2.05,0.2983286778035259,34.42948,2.8495037922417312,-34.42948,2.8495037922417312,-2.7345,0.0,,2.0500 +/- 0.2983,34.4295 +/- 2.8495,-34.4295 +/- 2.8495,-2.7345 +/- 0.0000,0.1061 +/- 0.0008
split_cifar100,agem,baseline,slim_resnet18,5,32,0,True,200,2.3438,0.03585,0.0015592218698781046,2.196,0.4775772188871659,40.4716,3.519449650868724,-40.4716,3.519449650868724,-2.7345,0.0,,2.1960 +/- 0.4776,40.4716 +/- 3.5194,-40.4716 +/- 3.5194,-2.7345 +/- 0.0000,0.0358 +/- 0.0016
split_cifar100,lwf,baseline,slim_resnet18,5,32,0,True,200,2.3438,0.02197777777777778,0.00067825575131917,2.6079999999999997,0.23763417262675,42.090520000000005,1.933918915570143,-42.090520000000005,1.933918915570143,-2.7345,0.0,,2.6080 +/- 0.2376,42.0905 +/- 1.9339,-42.0905 +/- 1.9339,-2.7345 +/- 0.0000,0.0220 +/- 0.0007
split_cifar100,der,hybrid,slim_resnet18,5,32,0,True,200,2.8125,0.03166666666666667,0.00021695137988629533,2.6799999999999997,0.32395987405850124,44.74948,2.154169614259751,-44.74948,2.154169614259751,-2.69658,0.06763938941179169,,2.6800 +/- 0.3240,44.7495 +/- 2.1542,-44.7495 +/- 2.1542,-2.6966 +/- 0.0676,0.0317 +/- 0.0002
split_cifar100,xder,hybrid,slim_resnet18,5,32,0,True,200,2.8125,0.0222,0.002073253392528185,2.3899999999999997,0.8350748469448711,45.12632,8.002100555291715,-45.12632,8.002100555291715,-2.72816,0.009441821858094987,,2.3900 +/- 0.8351,45.1263 +/- 8.0021,-45.1263 +/- 8.0021,-2.7282 +/- 0.0094,0.0222 +/- 0.0021
split_cifar100,icarl,hybrid,slim_resnet18,5,32,0,True,500,7.0312,0.02758333333333333,0.003344887382997861,4.3740000000000006,0.729952053219936,11.22946,1.0491255349099071,-9.25052,0.8762417514590372,-2.7345,0.0,,4.3740 +/- 0.7300,11.2295 +/- 1.0491,-9.2505 +/- 0.8762,-2.7345 +/- 0.0000,0.0276 +/- 0.0033
