dataset,method,run_tag,method_variant,seed,avg_accuracy,forgetting,backward_transfer,forward_transfer,source
permuted_mnist,progress_compress,,progress_compress,789,26.702,76.79,-76.79,1.4611,hybrid_fwt
permuted_mnist,si_der,,si_der,1024,65.397,33.6144,-33.6144,2.2633,hybrid_fwt
permuted_mnist,si_der,,si_der,123,65.498,33.41,-33.41,0.5822,hybrid_fwt
permuted_mnist,si_der,,si_der,42,66.69,32.3067,-32.3067,3.0122,hybrid_fwt
permuted_mnist,si_der,,si_der,456,66.509,32.31,-32.31,1.1544,hybrid_fwt
permuted_mnist,si_der,,si_der,789,61.58,37.8933,-37.8933,2.5011,hybrid_fwt
permuted_mnist,xder,,xder,1024,61.328,38.5678,-38.5678,2.78,hybrid_fwt
permuted_mnist,xder,,xder,123,62.356,37.5089,-37.5089,1.0478,hybrid_fwt
permuted_mnist,xder,,xder,42,64.697,34.8578,-34.8578,2.6278,hybrid_fwt
permuted_mnist,xder,,xder,456,60.626,39.4478,-39.4478,2.2778,hybrid_fwt
permuted_mnist,xder,,xder,789,59.325,40.9389,-40.9389,2.2233,hybrid_fwt
split_cifar100,agem_distill,,agem_distill,1024,5.12,20.4632,-20.3684,-2.7345,hybrid_fwt
split_cifar100,agem_distill,,agem_distill,123,3.39,18.4947,-18.4947,-2.7134,hybrid_fwt
split_cifar100,agem_distill,,agem_distill,42,3.82,21.7474,-21.7474,-2.7345,hybrid_fwt
split_cifar100,agem_distill,,agem_distill,456,4.28,19.5474,-19.5474,-2.7345,hybrid_fwt
split_cifar100,agem_distill,,agem_distill,789,3.98,21.2526,-21.2526,-2.7345,hybrid_fwt
split_cifar100,der,,der,1024,2.75,42.5684,-42.5684,-2.7345,hybrid_fwt
split_cifar100,der,,der,123,3.29,50.5474,-50.5474,-2.7239,hybrid_fwt
split_cifar100,der,,der,42,3.07,43.6737,-43.6737,-2.7345,hybrid_fwt
split_cifar100,der,,der,456,3.03,42.2105,-42.2105,-2.7239,hybrid_fwt
split_cifar100,der,,der,789,2.68,50.0421,-50.0421,-2.6713,hybrid_fwt
split_cifar100,er_ewc,,er_ewc,1024,4.15,57.0737,-57.0737,-2.7345,hybrid_fwt
split_cifar100,er_ewc,,er_ewc,123,3.47,59.3789,-59.3789,-2.7345,hybrid_fwt
split_cifar100,er_ewc,,er_ewc,42,4.31,59.7158,-59.7158,-2.7345,hybrid_fwt
split_cifar100,er_ewc,,er_ewc,456,4.25,61.1368,-61.1368,-2.7345,hybrid_fwt
split_cifar100,er_ewc,,er_ewc,789,4.15,57.9474,-57.9474,-2.7345,hybrid_fwt
split_cifar100,icarl,,icarl,1024,2.63,44.1895,-44.1895,-2.7345,hybrid_fwt
split_cifar100,icarl,,icarl,123,2.93,44.1474,-44.1474,-2.7345,hybrid_fwt
split_cifar100,icarl,,icarl,42,3.07,43.9158,-43.9158,-2.7345,hybrid_fwt
split_cifar100,icarl,,icarl,456,2.92,45.2737,-45.2737,-2.7345,hybrid_fwt
split_cifar100,icarl,,icarl,789,3.14,46.6,-46.6,-2.7345,hybrid_fwt
split_cifar100,progress_compress,,progress_compress,1024,3.85,52.5158,-52.5158,-2.7345,hybrid_fwt
split_cifar100,progress_compress,,progress_compress,123,3.4,52.0526,-52.0526,-2.7345,hybrid_fwt
split_cifar100,progress_compress,,progress_compress,42,3.55,51.3158,-51.3158,-2.6924,hybrid_fwt
split_cifar100,progress_compress,,progress_compress,456,3.51,51.9158,-51.9158,-2.7239,hybrid_fwt
split_cifar100,progress_compress,,progress_compress,789,3.92,55.3789,-55.3789,-2.7345,hybrid_fwt
split_cifar100,xder,,xder,1024,2.76,44.4526,-44.4526,-2.7345,hybrid_fwt
split_cifar100,xder,,xder,123,1.0,38.3684,-38.3684,-2.7029,hybrid_fwt
split_cifar100,xder,,xder,42,1.0,33.8632,-33.8632,-2.7345,hybrid_fwt
split_cifar100,xder,,xder,456,1.0,21.3789,-21.3789,-2.7345,hybrid_fwt
split_cifar100,xder,,xder,789,2.5,42.4947,-42.4947,-2.7029,hybrid_fwt
split_cifar10,agem_distill,,agem_distill,1024,28.73,28.7625,-28.7625,-16.0417,hybrid_fwt
split_cifar10,agem_distill,,agem_distill,123,27.84,29.175,-29.175,-14.8417,hybrid_fwt
split_cifar10,agem_distill,,agem_distill,42,25.93,33.75,-33.75,-16.0417,hybrid_fwt
split_cifar10,agem_distill,,agem_distill,456,25.14,33.1625,-33.1625,-15.7542,hybrid_fwt
split_cifar10,agem_distill,,agem_distill,789,28.74,29.9125,-29.9125,-15.9667,hybrid_fwt
split_cifar10,der,,der,1024,16.07,81.125,-81.125,-16.0417,hybrid_fwt
split_cifar10,der,,der,123,17.54,80.925,-80.925,-13.8917,hybrid_fwt
split_cifar10,der,,der,42,16.2,77.7625,-77.7625,-16.0417,hybrid_fwt
split_cifar10,der,,der,456,15.91,80.325,-80.325,-15.5667,hybrid_fwt
split_cifar10,der,,der,789,16.76,77.9125,-77.9125,-15.6417,hybrid_fwt
split_cifar10,er_ewc,,er_ewc,1024,26.57,71.4,-71.4,-16.0417,hybrid_fwt
split_cifar10,er_ewc,,er_ewc,123,27.52,67.175,-67.175,-15.1792,hybrid_fwt
split_cifar10,er_ewc,,er_ewc,42,28.49,68.5,-68.5,-15.8792,hybrid_fwt
split_cifar10,er_ewc,,er_ewc,456,26.23,72.725,-72.725,-15.9667,hybrid_fwt
split_cifar10,er_ewc,,er_ewc,789,32.01,65.4375,-65.4375,-15.6667,hybrid_fwt
split_cifar10,icarl,,icarl,1024,17.88,79.3125,-79.3125,-16.0417,hybrid_fwt
split_cifar10,icarl,,icarl,123,17.67,76.4125,-76.4125,-16.0417,hybrid_fwt
split_cifar10,icarl,,icarl,42,16.46,76.3875,-76.3875,-16.0417,hybrid_fwt
split_cifar10,icarl,,icarl,456,16.42,76.8,-76.8,-16.0417,hybrid_fwt
split_cifar10,icarl,,icarl,789,16.32,74.6375,-74.6375,-16.0417,hybrid_fwt
split_cifar10,progress_compress,,progress_compress,1024,17.9,80.5,-80.5,-15.6292,hybrid_fwt
split_cifar10,progress_compress,,progress_compress,123,20.65,75.4125,-75.4125,-13.8042,hybrid_fwt
split_cifar10,progress_compress,,progress_compress,42,17.66,80.0,-80.0,-15.8792,hybrid_fwt
split_cifar10,progress_compress,,progress_compress,456,17.93,79.5,-79.5,-15.9292,hybrid_fwt
split_cifar10,progress_compress,,progress_compress,789,18.4,77.375,-77.375,-15.8167,hybrid_fwt
split_cifar10,si_der,,si_der,1024,15.63,81.1375,-81.1375,-16.0417,hybrid_fwt
split_cifar10,si_der,,si_der,123,16.21,80.075,-80.075,-13.8917,hybrid_fwt
split_cifar10,si_der,,si_der,42,16.05,78.4625,-78.4625,-16.0417,hybrid_fwt
split_cifar10,si_der,,si_der,456,16.61,80.225,-80.225,-15.5667,hybrid_fwt
split_cifar10,si_der,,si_der,789,17.16,78.8,-78.8,-15.6417,hybrid_fwt
split_cifar10,xder,,xder,1024,19.76,77.775,-77.775,-16.0417,hybrid_fwt
split_cifar10,xder,,xder,123,19.44,74.725,-74.725,-14.4417,hybrid_fwt
split_cifar10,xder,,xder,42,20.96,75.125,-75.125,-16.0417,hybrid_fwt
split_cifar10,xder,,xder,456,18.99,77.325,-77.325,-13.5917,hybrid_fwt
split_cifar10,xder,,xder,789,18.1,79.3125,-79.3125,-15.6292,hybrid_fwt
split_cifar100,si_der,,si_der,123,3.04,47.0316,-47.0316,-2.7239,hybrid_fwt_sider_fix
split_cifar100,si_der,,si_der,456,2.5,43.6421,-43.6421,-2.7239,hybrid_fwt_sider_fix
split_cifar100,si_der,,si_der,789,2.82,47.0,-47.0,-2.6713,hybrid_fwt_sider_fix
split_cifar100,si_der,,si_der,1024,2.71,42.8737,-42.8737,-2.7345,hybrid_fwt_sider_fix
permuted_mnist,agem_distill,nodistill,agem_distill_nodistill,123,41.99,12.5911,-12.5911,5.9411,interaction_ablations
permuted_mnist,agem_distill,nodistill,agem_distill_nodistill,42,43.304,11.85,-11.7578,7.0822,interaction_ablations
permuted_mnist,agem_distill,nodistill,agem_distill_nodistill,456,42.384,12.0644,-11.8444,5.0644,interaction_ablations
permuted_mnist,der,nodistill,der_nodistill,123,27.289,75.59,-75.59,2.8356,interaction_ablations
permuted_mnist,der,nodistill,der_nodistill,42,26.378,76.7978,-76.7978,1.9211,interaction_ablations
permuted_mnist,der,nodistill,der_nodistill,456,28.467,74.5167,-74.5167,3.06,interaction_ablations
permuted_mnist,er_ewc,noewc,er_ewc_noewc,123,48.766,51.1856,-51.1856,3.3622,interaction_ablations
permuted_mnist,er_ewc,noewc,er_ewc_noewc,42,46.291,52.5011,-52.5011,2.3822,interaction_ablations
permuted_mnist,er_ewc,noewc,er_ewc_noewc,456,49.565,50.7856,-50.7856,3.3978,interaction_ablations
permuted_mnist,icarl,nonmc,icarl_nonmc,123,43.867,55.9978,-55.9978,1.9356,interaction_ablations
permuted_mnist,icarl,nonmc,icarl_nonmc,42,44.643,55.3133,-55.3133,1.1033,interaction_ablations
permuted_mnist,icarl,nonmc,icarl_nonmc,456,49.088,50.0744,-50.0744,2.8267,interaction_ablations
permuted_mnist,si_der,nosi,si_der_nosi,123,63.308,36.4433,-36.4433,0.9978,interaction_ablations
permuted_mnist,si_der,nosi,si_der_nosi,42,61.56,38.3378,-38.3378,3.1256,interaction_ablations
permuted_mnist,si_der,nosi,si_der_nosi,456,60.806,39.24,-39.24,1.9178,interaction_ablations
permuted_mnist,xder,norevision,xder_norevision,123,62.11,37.6611,-37.6611,0.6767,interaction_ablations
permuted_mnist,xder,norevision,xder_norevision,42,60.914,39.1144,-39.1144,1.8711,interaction_ablations
permuted_mnist,xder,norevision,xder_norevision,456,61.071,38.98,-38.98,1.3467,interaction_ablations
split_cifar10,agem_distill,nodistill,agem_distill_nodistill,123,27.84,29.175,-29.175,-14.8417,interaction_ablations
split_cifar10,agem_distill,nodistill,agem_distill_nodistill,42,25.93,33.75,-33.75,-16.0417,interaction_ablations
split_cifar10,agem_distill,nodistill,agem_distill_nodistill,456,25.14,33.1625,-33.1625,-15.7542,interaction_ablations
split_cifar10,der,nodistill,der_nodistill,123,16.55,79.8,-79.8,-15.2917,interaction_ablations
split_cifar10,der,nodistill,der_nodistill,42,16.13,80.2,-80.2,-15.3167,interaction_ablations
split_cifar10,der,nodistill,der_nodistill,456,16.02,80.175,-80.175,-15.2042,interaction_ablations
split_cifar10,er_ewc,noewc,er_ewc_noewc,123,29.11,68.0125,-68.0125,-15.1792,interaction_ablations
split_cifar10,er_ewc,noewc,er_ewc_noewc,42,24.78,72.3625,-72.3625,-15.8792,interaction_ablations
split_cifar10,er_ewc,noewc,er_ewc_noewc,456,23.45,77.8,-77.8,-15.9792,interaction_ablations
split_cifar10,icarl,nonmc,icarl_nonmc,123,17.59,80.3625,-80.3625,-15.5917,interaction_ablations
split_cifar10,icarl,nonmc,icarl_nonmc,42,17.24,81.5625,-81.5625,-15.4667,interaction_ablations
split_cifar10,icarl,nonmc,icarl_nonmc,456,17.56,80.9625,-80.9625,-15.0417,interaction_ablations
split_cifar10,si_der,nosi,si_der_nosi,123,17.54,80.925,-80.925,-13.8917,interaction_ablations
split_cifar10,si_der,nosi,si_der_nosi,42,16.2,77.7625,-77.7625,-16.0417,interaction_ablations
split_cifar10,si_der,nosi,si_der_nosi,456,15.91,80.325,-80.325,-15.5667,interaction_ablations
split_cifar10,xder,norevision,xder_norevision,123,16.59,79.725,-79.725,-13.8917,interaction_ablations
split_cifar10,xder,norevision,xder_norevision,42,16.72,79.95,-79.95,-16.0417,interaction_ablations
split_cifar10,xder,norevision,xder_norevision,456,15.28,80.075,-80.075,-15.5667,interaction_ablations
