dataset,method_variant,source,avg_accuracy_mean,avg_accuracy_std,avg_accuracy_count,forgetting_mean,forgetting_std,forgetting_count,backward_transfer_mean,backward_transfer_std,backward_transfer_count,forward_transfer_mean,forward_transfer_std,forward_transfer_count,avg_accuracy_mean_std,forgetting_mean_std,backward_transfer_mean_std,forward_transfer_mean_std
split_cifar100,der,hybrid_fwt,2.964,0.24915858403835894,5,45.80842,4.134663383759312,5,-45.80842,4.134663383759312,5,-2.71762,0.02643051267001841,5,2.96 ± 0.25,45.81 ± 4.13,-45.81 ± 4.13,-2.72 ± 0.03
split_cifar100,er_ewc,hybrid_fwt,4.066,0.34011762671170087,5,59.050520000000006,1.583326102544893,5,-59.050520000000006,1.583326102544893,5,-2.7345,0.0,5,4.07 ± 0.34,59.05 ± 1.58,-59.05 ± 1.58,-2.73 ± 0.00
split_cifar100,ewc,baseline_fwt,2.056,0.520749459913306,5,35.33472,3.0931335304186236,5,-35.33472,3.0931335304186236,5,-2.7345,0.0,5,2.06 ± 0.52,35.33 ± 3.09,-35.33 ± 3.09,-2.73 ± 0.00
split_cifar100,fine_tune,baseline_fwt,2.12,0.676535291023314,5,37.38528,3.4712318234309842,5,-37.38528,3.4712318234309842,5,-2.7345,0.0,5,2.12 ± 0.68,37.39 ± 3.47,-37.39 ± 3.47,-2.73 ± 0.00
split_cifar100,icarl,hybrid_fwt,2.9379999999999997,0.19588261791185033,5,44.82528,1.122675704288644,5,-44.82528,1.122675704288644,5,-2.7345,0.0,5,2.94 ± 0.20,44.83 ± 1.12,-44.83 ± 1.12,-2.73 ± 0.00
split_cifar100,joint_training,baseline_fwt,47.04,1.5567594547649297,5,5.3242199999999995,0.9026670521294103,5,12.12422,2.130461635890213,5,-2.7345,0.0,5,47.04 ± 1.56,5.32 ± 0.90,12.12 ± 2.13,-2.73 ± 0.00
split_cifar100,lwf,baseline_fwt,2.472,0.2053533540023148,5,40.72632,4.447198635883043,5,-40.72632,4.447198635883043,5,-2.7345,0.0,5,2.47 ± 0.21,40.73 ± 4.45,-40.73 ± 4.45,-2.73 ± 0.00
split_cifar100,progress_compress,hybrid_fwt,3.646,0.22634045153264148,5,52.63578,1.5921620401202907,5,-52.63578,1.5921620401202907,5,-2.7239600000000004,0.01822986560564831,5,3.65 ± 0.23,52.64 ± 1.59,-52.64 ± 1.59,-2.72 ± 0.02
split_cifar100,si_der,hybrid_fwt_sider_fix,2.7675,0.225,4,45.136849999999995,2.192223450441734,4,-45.136849999999995,2.192223450441734,4,-2.7134,0.028508010570130457,4,2.77 ± 0.23,45.14 ± 2.19,-45.14 ± 2.19,-2.71 ± 0.03
split_cifar100,xder,hybrid_fwt,1.652,0.8975076601344414,5,36.11156,9.185819842180663,5,-36.11156,9.185819842180663,5,-2.7218600000000004,0.017308032817163272,5,1.65 ± 0.90,36.11 ± 9.19,-36.11 ± 9.19,-2.72 ± 0.02
